Name,Description,Labels,List,Due Date,Members
HU 1.2.3 · Que el líder siga viendo sólo lo suyo,"Apartado 1.2 · API de sincronización

Como líder territorial, quiero que nadie más vea los casos que yo reporté, para proteger a las familias que confiaron sus datos.

Criterios de aceptacion:
- La API fija la identidad y cambia de rol DENTRO de cada transacción, así que las 19 políticas siguen corriendo
- Se conecta con un rol sin privilegios propios, nunca como superusuario ni dueño de las tablas
- La identidad es local a la transacción: una conexión reutilizada del pool no arrastra al usuario anterior
- Ninguna autorización se decide en código de la aplicación

Responsable: yonathangutierrez
Origen: ADR 002, entorno/postgres/00-shim-auth.sql
Depende de: HU 1.2.2",BackEnd,Hito 1 · Captura real,,
HU 1.2.4 · Que un corte de señal no duplique a una familia,"Apartado 1.2 · API de sincronización

Como líder territorial, quiero poder reintentar el envío sin miedo, para que el censo no cuente dos veces a la misma familia.

Criterios de aceptacion:
- Reintento con el mismo origen_id actualiza la misma fila y devuelve el mismo código
- El servidor asigna el consecutivo institucional RZ-AAAA-NNNNNN
- El registrador no puede firmar un caso a nombre de otro
- Prueba automática del reintento tras respuesta perdida

Origen: ADR 003
Depende de: HU 1.2.3",BackEnd,Hito 1 · Captura real,,
HU 1.2.5 · Subir la fotografía sin gastar el plan de datos de más,"Apartado 1.2 · API de sincronización

Como líder territorial, quiero que la fotografía vaya directo al almacenamiento, para que la subida sea lo más liviana y rápida posible.

Nota:
HECHA el 15 de agosto de 2026. Rama feature/hu-1.2.5-fotos.

SE CAMBIO EL MECANISMO frente a lo que decia el ADR 003, y la seccion 5 se reescribio: no se usa la subida multiparte de S3 porque exige partes de 5 MiB minimo, de modo que una foto de 200 KB no se podria partir. Cada bloque es un objeto propio bajo `partes/` y la API los une al confirmar, en flujo.

Verificado contra la API, PostgreSQL y el almacenamiento reales con `entorno/pruebas/ciclo-api.mjs`: 27 comprobaciones, incluida la reanudacion —se corta la subida a la mitad y solo se vuelven a firmar los bloques que faltan— y la integridad, con un bloque danado DEL TAMANO CORRECTO que se rechaza y no queda guardado.

Falta correr `entorno/aws/desplegar-fotos.sh` contra AWS y volver a desplegar la API para que reciba S3_BUCKET_FOTOS.

Criterios de aceptacion:
- Toda fotografia se sube por bloques, tambien una de 200 KB: lo transmitido no se vuelve a pagar
- Cada bloque lleva su tamano dentro de la firma, y el permiso caduca en 15 minutos
- La imagen no atraviesa la API en su viaje desde el celular
- Sin consentimiento no se emite autorizacion: la regla en el borde, no en la interfaz
- El objeto no queda legible sin firma
- Que bloques llegaron lo dice el almacenamiento, no el dispositivo: se reanuda tras perder la bateria
- La confirmacion consulta cada objeto concreto, nunca listando un prefijo
- Integridad de extremo a extremo: SHA-256 declarado en el dispositivo y verificado al unir
- Una fotografia no se envia si su caso todavia no llego al servidor
- Ruta de cancelacion que libera los bloques a medias

Origen: ADR 003
Depende de: HU 1.2.3","BackEnd,FrontEnd,hecha",Hito 1 · Captura real,,
HU 1.2.6 · Que un token vencido no me cueste la jornada,"Apartado 1.2 · API de sincronización

Como líder territorial, quiero seguir capturando aunque mi sesión haya expirado en el monte, para no perder el trabajo de un día por algo que no puedo resolver sin señal.

Nota:
HECHA. La verificacion de token vive detras de una interfaz, con implementacion de nube y modo local que AVISA en el arranque que no esta verificando. Entra ademas SesionGuard como guarda global: toda ruta pide token salvo tres marcadas con `@RutaAbierta()`. El valor por defecto queda invertido a proposito, porque una ruta que alguien olvide marcar debe pedir token, no quedar abierta. El rol NO se lee del token: se lee de perfiles en cada peticion, asi revocar surte efecto de inmediato. Sesion del 15 de agosto de 2026.

Criterios de aceptacion:
- Verificación de tokens detrás de una interfaz, con implementación de nube y local
- El rol NO se lee del token: se lee de perfiles, así el custodio puede cambiarlo sin esperar a que caduque nada
- Un token vencido devuelve clase sesión, nunca clase rechazo
- Iniciar sesión exige conexión; capturar, no

Origen: ADR 002, ADR 003
Depende de: HU 1.2.2","BackEnd,hecha",Hito 1 · Captura real,,
HU 1.2.7 · Entrar y encontrar mi perfil ya creado,"Apartado 1.2 · API de sincronización

Como voluntario recién dado de alta, quiero que mi perfil exista la primera vez que entro, para no quedar sin rol, sin poder hacer nada y sin mensaje que lo explique.

Nota:
HECHA POR OTRO CAMINO. El ADR 002 asignaba esta cadena a una Lambda de post-confirmacion; en vez de eso, POST /voluntarios crea la cuenta en Cognito Y refleja el usuario en auth.users, de donde el disparador crea el perfil con rol lider. Ambas escrituras son idempotentes, asi que reintentar el alta arregla un corte a mitad.

La Lambda NO se construyo y ya no hace falta: solo se disparia con registro por cuenta propia, y aqui no lo hay a proposito. no hay registro abierto, porque lo que se escribe con esa cuenta es el padron de familias damnificadas. Da de alta el custodio. Sesion del 15 de agosto de 2026.

Criterios de aceptacion:
- Al confirmar la cuenta se refleja el usuario en la base y el disparador crea el perfil
- El rol por defecto es el menos privilegiado: ascender es una acción deliberada del custodio
- Es idempotente: los reintentos no duplican
- El disparador existente no se modifica

Responsable: yonathangutierrez
Origen: ADR 002, schema.sql §10.b","Infra,BackEnd,hecha",Hito 1 · Captura real,,
HU 1.2.8 · Entrar desde el celular sin que el navegador hable con el proveedor,"Apartado 1.2 · API de sincronización

Como lider territorial, quiero entrar con mi correo y mi clave contra la API de Raiz, para no depender de una pantalla de un tercero ni de que mi celular sepa hablarle.

Nota:
HECHA. Las tres rutas de sesion contra Cognito real. Verificado contra AWS, no supuesto: token de acceso de 12 horas, emisor correcto, llaves publicas alcanzables. Es el mismo protocolo HTTPS directo que usa el adaptador, asi que lo probado es el camino real y no una simulacion.

El SDK de AWS se agrego SOLO para el alta de voluntarios, porque AdminCreateUser exige firma SigV4 y firmarla a mano es donde un error no da la cara. InitiateAuth no va firmada y sigue yendo por fetch. Sesion del 15 de agosto de 2026.

Criterios de aceptacion:
- POST /sesion valida contra el proveedor y devuelve token, vencimiento, correo y perfil
- El perfil viaja resuelto en la MISMA respuesta, no en una segunda llamada
- GET /sesion responde 200 si el token sirve para enviar y 401 si no
- DELETE /sesion cierra del lado del servidor y responde 204
- El rol se lee de perfiles en cada peticion, nunca del token
- Un usuario con activo en false no entra aunque la clave sea correcta
- 401 es respuesta legitima y se traduce a clase sesion, nunca a clase rechazo

Origen: ADR 003 seccion 8, ampliada el 15 de agosto de 2026
Depende de: HU 1.2.6 (verificacion de token) y HU 1.2.7 (perfil creado al alta)","BackEnd,hecha",Hito 1 · Captura real,,
HU 1.3.1 · Que el sistema no me borre lo capturado,"Apartado 1.3 · Cliente en el dispositivo

Como líder territorial, quiero que lo que guardo en el celular no lo borre el teléfono para liberar espacio, para no perder casos que todavía no he podido sincronizar.

Criterios de aceptacion:
- Se solicita cuota persistente al arrancar y se registra el resultado
- Se vigila el espacio disponible y se avisa ANTES de que falle una captura
- Prueba automática de la solicitud

Origen: hallazgos-revision.md H11, ADR 003","FrontEnd,defecto",Hito 1 · Captura real,,
HU 1.3.2 · Que la aplicación me diga la verdad sobre lo pendiente,"Apartado 1.3 · Cliente en el dispositivo

Como líder territorial, quiero que el botón de sincronizar no diga que hay pendientes si ya no va a enviarlos, para no creer que mi trabajo está a salvo cuando no lo está.

Criterios de aceptacion:
- La sesión se verifica ANTES de empezar la pasada, no error por error
- 401 y 403 detienen la pasada y NO consumen intentos
- El contador distingue pendiente de agotó reintentos
- Espera con retroceso entre pasadas
- Pruebas: sesión vencida, red caída a la mitad, reintento idempotente

Origen: hallazgos-revision.md H10, ADR 003","FrontEnd,defecto",Hito 1 · Captura real,,
HU 1.3.3 · Decidir yo cuándo se gastan mis datos,"Apartado 1.3 · Cliente en el dispositivo

Como líder territorial, quiero que los casos salgan solos al haber senal y que las fotografias esperen mi decision, para que sincronizar no me consuma el plan del mes ni dependa de que yo me acuerde.

Nota:
HECHA. Los casos salen solos al reconectar y al abrir; las fotografias siguen pidiendo el boton. Se agrego RedService, que lee la API de informacion de red: en wifi la tarjeta invita a mandar las fotos, y con ahorro de datos activo no sale NADA sin que lo pidan, ni siquiera los casos. La tarjeta dice cuanto pesa lo pendiente antes de gastarlo.

Limite conocido y aceptado: navigator.connection solo existe en navegadores Chromium. En iOS y Firefox el tipo queda 'desconocida' y se aplica la regla conservadora, que es la de datos moviles. Se prefiere un boton de mas a un consumo que el voluntario descubre despues.

REEMPLAZA la decision anterior de que la sincronizacion nunca es automatica: el corte trataba igual un caso de 3 KB y una foto de 200 KB, y el costo de olvidar el boton lo pagaba la familia, no el voluntario. ESTADO.md ya corregido; falta la lamina 10 del pitch.

Criterios de aceptacion:
- Los casos se envian solos al reconectar y al abrir la aplicacion: pesan unos 3 KB
- Las fotografias, de unos 200 KB, siguen esperando el boton
- En wifi se ofrece mandar tambien las fotografias
- Con ahorro de datos activo no se manda nada sin pedirlo
- Nada de sincronizacion automatica en segundo plano: solo con la aplicacion abierta

Origen: ADR 003","FrontEnd,hecha",Hito 1 · Captura real,,
HU 1.3.4 · Cambiar de backend sin tocar la aplicación,"Apartado 1.3 · Cliente en el dispositivo

Como equipo, quiero reemplazar sólo los adaptadores, para comprobar que la frontera de puertos era real y no una promesa.

Nota:
HECHA. Se reemplazaron los dos adaptadores de Supabase por adaptadores contra la API propia. Costo dos lineas y dos importaciones en app.config.ts; ningun componente ni servicio de dominio se modifico, y la aplicacion sigue corriendo completa en modo local con apiUrl vacio. Se retiro @supabase/supabase-js de las dependencias. Sesion del 15 de agosto de 2026, rama del frontend.

Criterios de aceptacion:
- Sólo cambian los adaptadores y una línea de composición
- Ningún componente ni servicio de dominio se modifica
- La aplicación sigue corriendo completa en modo local sin backend

Responsable: yonathangutierrez
Origen: ADR 002
Depende de: HU 1.2.1","FrontEnd,hecha",Hito 1 · Captura real,,
HU 1.3.5 · Que un cambio no rompa la protección de datos en silencio,"Apartado 1.3 · Cliente en el dispositivo

Como custodia de datos, quiero pruebas que fallen si la identidad empieza a viajar sin autorización, para no depender de que alguien revise a mano en cada cambio.

Criterios de aceptacion:
- La construcción de la fila que va al servidor, con y sin consentimiento
- El comportamiento de la cola ante sesión vencida y red caída
- Corren en el pipeline de cada PR

Responsable: yonathangutierrez
Origen: hallazgos-revision.md H13","FrontEnd,defecto",Hito 1 · Captura real,,
HU 1.3.6 · Que lo que lleno de la vivienda llegue al servidor,"Apartado 1.3 · Cliente en el dispositivo

Como lider territorial, quiero que el bloque de vivienda y los anexos rural y urbano viajen con el caso, para que el paso mas largo del formulario no sea trabajo descartado en silencio.

Nota:
HECHA del lado del cliente. El adaptador anterior solo escribia en la tabla familias: 13 campos de vivienda, 16 del anexo rural y 5 del urbano nunca viajaban. No se habia notado porque no hay servidor. Falta el lado del servidor, que es HU 1.2.1 y HU 1.2.2. Sesion del 15 de agosto de 2026, rama del frontend.

Criterios de aceptacion:
- El caso viaja como un solo documento y el servidor lo reparte entre familias, viviendas y produccion
- El reparto ocurre en una transaccion: no quedan hogares a medias si la senal se cae
- Ningun campo que el formulario captura se queda sin enviar

Origen: Revision del adaptador de sincronizacion, 15 de agosto de 2026","FrontEnd,defecto,hecha",Hito 1 · Captura real,,
HU 1.3.7 · Llenar el hogar sin pelear con el teclado,"Apartado 1.3 · Cliente en el dispositivo

Como lider territorial, quiero contar personas con botones y no con diez campos numericos, para no abandonar el formulario en el bloque que las entidades mas exigen.

Nota:
HECHA. Diez campos numericos eran diez aperturas de teclado, y el teclado tapa la mitad inferior de la pantalla. Se reemplazaron por un contador de menos y mas. Se cambio type=number por texto con teclado numerico en todo el paso, porque el campo numerico cambia de valor al deslizar. El aviso de descuadre subio sobre la rejilla. Sesion del 15 de agosto de 2026, rama del frontend.

Criterios de aceptacion:
- La rejilla de edad y sexo se llena sin abrir el teclado
- Se ve la rejilla completa mientras se llena, y el aviso de descuadre no queda tapado
- Ningun campo numerico cambia de valor al deslizar el dedo encima
- Los objetivos tactiles usan la medida del sistema, no una menor

Origen: Revision de ergonomia del paso 2, 15 de agosto de 2026","FrontEnd,hecha",Hito 1 · Captura real,,
HU 1.3.8 · Que abrir un caso y arrepentirse no deje un registro fantasma,"Apartado 1.3 · Cliente en el dispositivo

Como lider territorial, quiero que un caso sin nada del hogar no se guarde, para que la lista muestre familias y no filas vacias que despues inflan el total.

Nota:
HECHA. persistir() escribia en IndexedDB sin preguntar si habia algo, y lo llamaban tanto Salir como Continuar. Los fantasmas se contaban como pendientes de envio y el dia que exista servidor habrian viajado, inflando el total consolidado. Sesion del 15 de agosto de 2026, rama del frontend.

Criterios de aceptacion:
- Un caso nuevo no se escribe hasta que haya telefono, nombre, lugar, personas, foto o coordenada
- Los datos que vienen rellenados de antemano no cuentan como dato del hogar
- Un caso que ya existe se sigue guardando aunque quede vacio
- Guardar caso sin nada escrito avisa que falta, en vez de no hacer nada en silencio

Origen: Defecto encontrado en revision de flujo, 15 de agosto de 2026","FrontEnd,defecto,hecha",Hito 1 · Captura real,,
HU 1.3.9 · Borrar del celular un registro equivocado,"Apartado 1.3 · Cliente en el dispositivo

Como lider territorial, quiero poder decidir si guardo o descarto, y borrar despues lo que quedo mal, para que no viaje a la entidad un registro que se creo por error.

Nota:
HECHA. Se agrego eliminar() al puerto de almacenamiento, que no existia. Borrar un caso ya enviado es supresion de datos y va por el canal del custodio, no por un boton en el celular. Sesion del 15 de agosto de 2026, rama del frontend.

Criterios de aceptacion:
- Al salir con algo escrito se pregunta: guardar, descartar o seguir llenando
- Descartar borra tambien lo que ya se habia guardado en pasadas anteriores
- La lista tiene boton de borrar en cada caso sin enviar
- La confirmacion ocurre en la misma tarjeta, para ver cual caso se borra
- Borrar se lleva las fotografias en la misma transaccion
- Un caso ya sincronizado NO se puede borrar desde el celular

Origen: Revision de flujo, 15 de agosto de 2026","FrontEnd,hecha",Hito 1 · Captura real,,
HU 1.3.10 · Que mi nombre no se aprenda de un caso que descarte,"Apartado 1.3 · Cliente en el dispositivo

Como lider territorial, quiero que la aplicacion recuerde quien soy, pero solo de un registro que decidi conservar, para no encontrar rellenado lo que escribi por error y despues borre.

Nota:
HECHA. guardarPerfil corria en cada persistir(), asi que un caso borrado seguia ensenandole a la aplicacion. Persistir el nombre es correcto y es buen UX: el dato es del voluntario, no del registro. Sesion del 15 de agosto de 2026, rama del frontend.

Criterios de aceptacion:
- El perfil se guarda al conservar un caso, nunca en el guardado automatico
- El campo dice que el dato es del voluntario y no de la familia
- Sigue sin pedirse el nombre en cada registro

Origen: Defecto reportado en pruebas manuales, 15 de agosto de 2026","FrontEnd,defecto,hecha",Hito 1 · Captura real,,
HU 1.3.11 · Que un paso sin llenar no describa una familia sin problema,"Apartado 1.3 · Cliente en el dispositivo

Como coordinador de la mesa, quiero que los campos de dano no vengan con un valor por defecto, para que el silencio no entre a la base como una casa en buen estado.

Nota:
HECHA. El formulario traia afectacion en 'moderado', habitable en true y donde duerme en 'la misma vivienda'. Un paso que nadie llenaba describia una familia sin problema, y en un censo de damnificados el silencio no puede leerse como que la casa esta bien. La habitabilidad pasa de casilla a dos botones porque una casilla sin marcar no distingue 'no es habitable' de 'no me preguntaron', y de ese dato depende si la familia entra en la lista de quienes necesitan techo esta noche. Sesion del 15 de agosto de 2026.

Criterios de aceptacion:
- Nivel de afectacion, habitabilidad y donde duerme la familia arrancan sin responder
- La habitabilidad se pregunta con dos opciones, no con una casilla
- Se distingue 'no se puede vivir ahi' de 'nadie pregunto'

Origen: Revision del paso 3, 15 de agosto de 2026","FrontEnd,defecto,hecha",Hito 1 · Captura real,,
HU 1.3.12 · Que el riesgo de colapso no dependa de que alguien se acuerde,"Apartado 1.3 · Cliente en el dispositivo

Como lider territorial, quiero que marcar riesgo de colapso deje el caso en P0 automaticamente, para que una familia bajo una estructura que se puede caer no quede en la cola normal.

Nota:
HECHA. El aviso decia 'Marque prioridad P0 en el ultimo paso'. Una advertencia que hay que recordar un paso despues es una advertencia que se pierde, y lo que se pierde aqui es una familia durmiendo bajo algo que se puede caer. Sesion del 15 de agosto de 2026.

Criterios de aceptacion:
- Marcar riesgo de colapso fija prioridad P0 al guardar
- El aviso dice que ya quedo en P0, no pide recordarlo
- Se mantiene el aviso de avisar al coordinador el mismo dia

Origen: Revision del paso 3, 15 de agosto de 2026","FrontEnd,defecto,hecha",Hito 1 · Captura real,,
HU 1.3.13 · Avisar cuando el dano y la habitabilidad se contradicen,"Apartado 1.3 · Cliente en el dispositivo

Como coordinador de la mesa, quiero que el formulario avise si dice dano severo y a la vez que si se puede vivir ahi, para que no entre a la base un dato que decide si la familia recibe techo.

Nota:
HECHA. Mismo criterio que el descuadre de personas del paso 2: avisar sin bloquear, porque un formulario que bloquea es un formulario que se abandona. Sesion del 15 de agosto de 2026.

Criterios de aceptacion:
- Avisa con severo, destruida o riesgo de colapso mas habitable en si
- Avisa y no bloquea: en campo puede haber una razon
- El aviso queda arriba, donde el teclado no lo tapa

Origen: Revision del paso 3, 15 de agosto de 2026","FrontEnd,hecha",Hito 1 · Captura real,,
HU 1.3.14 · Registrar la siguiente familia de la misma casa sin repetir la ubicacion,"Apartado 1.3 · Cliente en el dispositivo

Como lider territorial, quiero crear el caso de otra familia de la misma estructura con el lugar ya puesto, para no escribir cuatro veces la misma vereda cuando una casa alojaba cuatro familias.

Nota:
HECHA. El ofrecimiento aparece al guardar, no en la lista: el voluntario todavia esta parado frente a la casa y en la lista ya no lo esta.

Que se copia el estado del inmueble fue una correccion sobre la marcha. La primera version solo copiaba el lugar, y eso dejaba el registro parcial y obligaba a re-responder el dano de la MISMA casa: la grieta es la misma grieta, y volver a preguntarla invita a que un inmueble quede con 'severo' en una familia y 'moderado' en la siguiente, de modo que la entidad recibe dos verdades del mismo predio y ninguna sirve. Lo copiado queda editable y avisado.

La navegacion va por /nuevo?desde=<id> para que la creacion siga estando en un solo lugar. Se reacciona a los parametros de la ruta y no se leen una sola vez, porque Angular reutiliza el componente cuando solo cambian y el voluntario se quedaria mirando el caso que acaba de guardar.

Criterios de aceptacion:
- Al guardar un caso donde vivian varias familias se ofrece registrar la siguiente
- Se copia el lugar completo, incluida la coordenada ya tomada
- Se copia el estado del INMUEBLE: afectacion, riesgo de colapso, materiales y servicios
- NO se copia nada del hogar: ni nombre, ni documento, ni telefono, ni composicion
- NO se copia la autorizacion: cada familia la da por separado
- NO se copian tenencia ni donde duerme: son de cada familia
- El paso 3 avisa que el estado del inmueble viene del registro anterior
- El caso nuevo es independiente y tiene su propio identificador de origen

Origen: Revision del paso 3, 15 de agosto de 2026","FrontEnd,hecha",Hito 1 · Captura real,,
HU 1.3.15 · Que las fotografias suban solas apenas haya red,"Apartado 1.3 · Cliente en el dispositivo

Como lider territorial, quiero no tener que acordarme de tocar un boton para que las fotos viajen, para dedicar el tiempo a atender a la familia y no a manejar la aplicacion.

Nota:
HECHA el 26 de agosto de 2026. Al abrir Raiz, recuperar conexion, desactivar el ahorro de datos o guardar un caso mientras ya hay red, una pasada automatica envia primero los casos y despues las fotografias. No distingue wifi de datos moviles y la tarjeta informa el peso antes de gastarlo.

La ruta automatica no revive fotografias que agotaron sus intentos; «Volver a intentar» sigue siendo una decision manual. La lista escucha el final de la pasada y relee IndexedDB, de modo que el caso completo deja de aparecer pendiente sin recargar. No se registra Background Sync ni trabajo en el service worker: con la aplicacion cerrada no sale nada.

Verificado con cuatro pruebas unitarias: apertura con red, ahorro de datos como valvula, recuperacion del evento online y reintento manual de detenidas.

Pedido en campo con estas palabras: «quitarle tareas al voluntario, que esta buscando atender y entregar ayudas a quienes realmente las necesitan».

Criterios de aceptacion:
- Apenas hay conexion, las fotografias salen: no se distingue wifi de datos moviles
- Con el ahorro de datos activo sigue sin salir nada sin pedirlo: es la valvula del voluntario
- Nunca hay envio en segundo plano con la aplicacion cerrada
- Se avisa cuanto se va a gastar, pero no se pide permiso cada vez
- El caso completo —texto y fotos— deja de aparecer como pendiente sin que nadie toque nada

Origen: prueba en iPhone del 15 de agosto de 2026; enmienda a ESTADO.md seccion 2","FrontEnd,hecha",Hito 1 · Captura real,,
HU 1.4.1 · Probar la aplicación en un Android de verdad,"Apartado 1.4 · Prueba en campo

Como equipo, quiero saber qué se siente usar esto de pie, bajo el sol, con la familia esperando, para corregir lo que ninguna prueba automática detecta.

Criterios de aceptacion:
- Al menos tres teléfonos distintos, alguno de gama baja y poca memoria
- Un caso completo capturado en modo avión y sincronizado después
- Reporte con qué se intentó, qué pasó y qué incomodó
- Los hallazgos entran como historias nuevas

Origen: FRENTES.md F6, ESTADO.md §5",sin código,Hito 1 · Captura real,,
HU 1.4.2 · Probar un cambio desde el celular antes de integrarlo,"Apartado 1.4 · Prueba en campo

Como persona que prueba en campo, quiero abrir un enlace en mi Android y probar lo que alguien propuso, para poder opinar sin instalar nada ni saber programar.

Criterios de aceptacion:
- URL propia por cada propuesta de cambio, publicada automáticamente
- La vista previa funciona sin backend, en modo local
- Se retira al cerrar la propuesta

Responsable: yonathangutierrez
Origen: ADR 004, FRENTES.md F6
Desbloquea: HU 1.4.1",Infra,Hito 1 · Captura real,,
